inputs,sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral
$SPY wouldn't be surprised to see a green close,positive
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive
Viking Line has canceled some services .,neutral
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral
$FB gone green on day,positive
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral
The company closed last year with a turnover of about four million euros .,neutral
Shire CEO steps up drive to get Baxalta board talking,positive
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral
All are welcome .,neutral
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive
- Profit before taxes was EUR 105.9 82.7 million .,neutral
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative
InterContinental Hotels first-quarter global room revenue lags estimates,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive
"L&G still paying price for dividend cut during crisis, chief says",negative
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive
Profit of the accounting period was EUR 0.3 mn .,neutral
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive
Tesco share price jumps as Q3 sales top estimates,positive
The fine print is here .,neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive
The firm generated sales of 187 mln eur in 2005 .,neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral
AstraZeneca profit down as sales of stalwarts fade,negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral
